final_price,bathrooms,sqft,parking,type,lat,long,city_district,bedrooms_ag,bedrooms_bg
402500,1,650,1,Condo Apt,43.7246581,-79.6154278,West Humber-Clairville,1,1
1400000,3,,0,Semi-Detached,43.6782309,-79.4258625,Wychwood,3,1
1060000,2,1300,2,Detached,43.6812949,-79.2803415,Birchcliffe-Cliffside,2,2
850000,2,,1,Semi-Detached,43.6920082,-79.3217282,Danforth East York,3,0
433500,1,550,1,Condo Apt,43.6946819,-79.2734144,Oakridge,1,1
1140000,2,,1,Detached,43.6729889,-79.3168261,Woodbine Corridor,3,0
675000,1,650,0,Condo Apt,43.6458091,-79.3756819,Waterfront Communities-The Island,1,1
615000,2,750,1,Condo Apt,43.6227486,-79.481943,Mimico (includes Humber Bay Shores),2,0
948000,2,,2,Detached,43.6639092,-79.4443583,Dovercourt-Wallace Emerson-Junction,4,0
685500,2,950,1,Condo Apt,43.6385254,-79.5357367,Islington-City Centre West,2,1
380000,2,1100,1,Condo Apt,43.7590096,-79.5885685,Mount Olive-Silverstone-Jamestown,2,0
1260000,4,1750,1,Semi-Detached,43.6889913,-79.420954,Humewood-Cedarvale,3,0
390000,1,750,1,Condo Apt,43.7808971,-79.2498304,Woburn,1,0
955000,2,1300,1,Condo Townhouse,43.6413402,-79.4181394,Niagara,3,0
890000,4,,2,Semi-Detached,43.7309626,-79.5090799,Downsview-Roding-CFB,3,2
1078000,3,,1,Semi-Detached,43.6919681,-79.3456697,Old East York,3,1
1377000,3,1750,1,Att/Row/Twnhouse,43.6565139,-79.3410593,South Riverdale,3,1
729900,2,850,2,Condo Apt,43.6276596,-79.47698,Mimico (includes Humber Bay Shores),1,1
520000,3,1100,1,Condo Townhouse,43.8040759,-79.2164256,Malvern,4,0
514200,2,850,1,Condo Apt,43.7733444,-79.2561489,Bendale,2,1
672100,1,750,1,Condo Apt,43.6503953,-79.3581104,Waterfront Communities-The Island,1,0
537000,1,550,1,Condo Apt,43.6397558,-79.3772708,Waterfront Communities-The Island,1,0
1480000,4,2750,2,Detached,43.6315105,-79.5163656,Stonegate-Queensway,3,0
635000,1,650,0,Condo Apt,43.6441737,-79.3894209,Waterfront Communities-The Island,1,0
525000,3,1300,1,Condo Townhouse,43.6418184,-79.5595537,Islington-City Centre West,3,1
786500,2,850,1,Condo Apt,43.639825,-79.4164156,Niagara,2,1
835000,2,,1,Att/Row/Twnhouse,43.6723194,-79.4262973,Wychwood,3,0
784000,2,,4,Detached,43.7617705,-79.2353224,Woburn,4,3
799000,2,950,1,Condo Apt,43.6440587,-79.4033104,Niagara,2,1
874800,1,750,1,Condo Apt,43.6483688,-79.3766013,Church-Yonge Corridor,1,1
1555000,4,3250,4,Detached,43.6779289,-79.448936,Corso Italia-Davenport,5,2
474000,2,1100,1,Condo Apt,43.7342567,-79.2628949,Eglinton East,2,1
433000,1,550,0,Condo Apt,43.6152292,-79.4889486,Mimico (includes Humber Bay Shores),1,0
215000,1,750,1,Condo Apt,43.7459167,-79.5157256,Glenfield-Jane Heights,1,0
792500,2,850,1,Condo Apt,43.642653,-79.3934868,Waterfront Communities-The Island,2,1
665000,2,,2,Detached,43.6811023,-79.4672354,Keelesdale-Eglinton West,2,2
551000,1,550,1,Condo Apt,43.6366747,-79.40647,Niagara,1,0
856000,2,950,1,Condo Apt,43.6565369,-79.3544975,Moss Park,2,0
1060000,1,,0,Semi-Detached,43.6794115,-79.3595822,Playter Estates-Danforth,3,0
650000,1,1100,2,Condo Apt,43.7395216,-79.3448832,Banbury-Don Mills,2,0
564000,1,250,0,Condo Apt,43.6606054,-79.3786354,Church-Yonge Corridor,1,0
527800,1,650,1,Condo Apt,43.7793207,-79.4137118,Willowdale East,1,1
1220000,5,2250,2,Detached,43.6733361,-79.4477956,Corso Italia-Davenport,4,0
835000,2,1100,1,Condo Apt,43.665106,-79.4625164,Junction Area,1,1
464900,1,550,0,Condo Apt,43.6660964,-79.3873217,Bay Street Corridor,1,0
472000,1,550,1,Condo Apt,43.6369251,-79.4690573,High Park-Swansea,1,0
890000,3,,4,Detached,43.7937253,-79.2868889,Agincourt South-Malvern West,3,2
762000,2,1100,1,Condo Apt,43.6522277,-79.3692699,Moss Park,2,1
357000,1,750,1,Condo Apt,43.710003,-79.3311344,Flemingdon Park,2,0
13180000,8,,6,Detached,43.6934072,-79.4194865,Forest Hill South,5,1
625000,1,850,1,Condo Apt,43.6468163,-79.3852934,Bay Street Corridor,1,1
1500000,2,1100,1,Condo Apt,43.648953,-79.3857683,Bay Street Corridor,1,1
702000,2,,1,Att/Row/Twnhouse,43.6661972,-79.4820018,Junction Area,3,0
630000,2,850,1,Condo Apt,43.7754238,-79.3374816,Henry Farm,2,0
450000,2,1100,1,Condo Apt,43.7804828,-79.4470506,Westminster-Branson,2,0
460000,1,550,0,Condo Apt,43.7640292,-79.4070417,Willowdale East,1,0
661000,3,1300,6,Detached,43.7339472,-79.226865,Cliffcrest,2,2
780000,4,1750,4,Detached,43.7725657,-79.1404295,Centennial Scarborough,3,1
